Brand,Calories,Carbs (g),Fat (g),Sodium (mg),Sugars (g)
All-Bran,212.1212121212,21.2121212121,3.0303030303,787.8787878788,15.1515151515
Cap'n'Crunch,160,16,2.6666666667,293.3333333333,16
Cheerios,88,13.6,1.6,232,0.8
Cinnamon Toast Crunch,160,17.3333333333,4,280,12
Count Chocula,133.3333333333,30.6666666667,2.6666666667,173.3333333333,12
Maypo,100,16,1,0,3
Quaker Oat Squares,200,28,2,270,12
Raisin Bran,160,18.6666666667,1.3333333333,280,16
Rice Krispies,110,22,0,290,3
Shredded Wheat,80,16,0,0,0
Special K,110,16,0,230,3
Fiber One,40,16.6666666667,0.6666666667,70,0
Thin Mint Cereal,150,27.5,3.75,112.5,11.25
Vanilla Coconut,171.4285714286,2.8571428571,11.4285714286,85.7142857143,1.4285714286
Ancient Grains Cheerios,366.6666666667,73.3333333333,6.6666666667,350,16.6666666667
Great Grains,271.4285714286,52.8571428571,5.7142857143,164.2857142857,14.2857142857
